[English],6,51,3,3,"August 1, 2018 ",Not the best Pinchos,"Bro, Sweden","We visited Pinchos in Gothenburg the week prior to this visit. The visit in Gothenburg was very pleasant so we decided to visit another Pinchos. 
This visit was not as nice as in Gothenburg. The prices was around 10-15 % higher, the atmosphere was not...More"
[English],6,2,,1,"March 31, 2018 ","Long wait, horrible food, not going back","Lund, Sweden","Friday evening  and we expected a wait for food. However 30 minutes after ordering, our drinks weren't even ready and the staff had to go get them for us. After almost 50 minutes, the food came and it was awful. Risotto that had no flavor...More"
[English],6,4,,2,"February 16, 2018 ",Greasy cold food - but ok drinks,"Copenhagen, Denmark","The concept might be good but the execution is poor. 

We had two ten year old kids and from the time we ordered via the App to getting a ping our food was ready was nearly an hour! The food portions were tiny and not...More"
[English],6,91,18,3,"December 22, 2017 ",Nice concept ,"Lund, Sweden",Went to ponchos to celebrate my daughters birthday. The app wasn’t working so they have to take the order manually! Took quite a while to get served and to get our food. The food wasn’t too bad and I’d probably give it another go. The...More
[English],6,129,35,3,"December 2, 2017 ",Overpriced fast food,"Lund, Sweden","The concept is small, tapas style, dishes ordered via an app. Why, one wonders, it must be just as easy to put in an order by the server. If you are allergic or need to have something changed in your order you are out of...More"
[English],6,121,24,3,"October 29, 2017 ","Interesting concept, decent food","Lund, Sweden","You order all your food and drinks via an app, and when it is done you get a notification on your phone to go pick it up yourself. This makes it easy for everyone to decide and order as and when they want, and to...More"
[Swedish],30,24,4,3,"January 3, 2019 ",Mysigt och helt ok mat,"Malmo, Sweden",Helt ok upplevelse. Dock kände vi oss lite stressade då vi bara hann sitta 1h 20 min då vi hade...More
[Swedish],30,33,9,3,"December 26, 2018 ",Små mat,,Helt ok mat. Trevlig personal men går jag på krog vill jag bli serverad och inte hämta allt själv. Därför...More
[Swedish],30,128,33,3,"November 23, 2018 ",Helfabrikat ,"Lund, Sweden","Inredning, koncept häftigt men vill man gå ut och äta god mat så blir man mkt missnöjd allt är i...More"
[Swedish],30,4,2,2,"September 15, 2018 ",Bra koncept - det är det enda,,"Tanken bakom Pinchos är verkligen genomtänkt, för några som är petiga med maten är möjligheten att beställa in flera rätter...More"
